states,sat_2017_erw,sat_2017_math,sat_2017_total,sat_2017_part_rate,act_2017_english,act_2017_math,act_2017_reading,act_2017_science,act_2017_part_rate,act_2017_composite,sat_2018_erw,sat_2018_math,sat_2018_total,sat_2018_part_rate,act_2018_part_rate,act_2018_composite,act_2018_english,act_2018_math,act_2018_reading,act_2018_science
Alabama,593,572,1165,5,18.9,18.4,19.7,19.4,100,19.2,595,571,1166,6,100,19.1,18.9,18.3,19.6,19.0
Alaska,547,533,1080,38,18.7,19.8,20.4,19.9,65,19.8,562,544,1106,43,33,20.8,19.8,20.6,21.6,20.7
Arizona,563,553,1116,30,18.6,19.8,20.1,19.8,62,19.7,577,572,1149,29,66,19.2,18.2,19.4,19.5,19.2
Arkansas,614,594,1208,3,18.9,19.0,19.7,19.5,100,19.4,592,576,1169,5,100,19.4,19.1,18.9,19.7,19.4
California,531,524,1055,53,22.5,22.7,23.1,22.2,31,22.8,540,536,1076,60,27,22.7,22.5,22.5,23.0,22.1
Colorado,606,595,1201,11,20.1,20.3,21.2,20.9,100,20.8,519,506,1025,100,30,23.9,23.9,23.2,24.4,23.5
Connecticut,530,512,1041,100,25.5,24.6,25.6,24.6,31,25.2,535,519,1053,100,26,25.6,26.0,24.8,26.1,24.9
Delaware,503,492,996,100,24.1,23.4,24.8,23.6,18,24.1,505,492,998,100,17,23.8,23.7,23.1,24.5,23.4
District of Columbia,482,468,950,100,24.4,23.5,24.9,23.5,32,24.2,497,480,977,92,32,23.6,23.7,22.7,24.4,23.0
Florida,520,497,1017,83,19.0,19.4,21.0,19.4,73,19.8,522,493,1014,97,66,19.9,19.2,19.3,21.1,19.5
Georgia,535,515,1050,61,21.0,20.9,22.0,21.3,55,21.4,542,522,1064,70,53,21.4,20.9,20.7,21.2,21.4
Hawaii,544,541,1085,55,17.8,19.2,19.2,19.3,90,19.0,550,549,1099,56,89,18.9,18.2,19.0,19.1,19.0
Idaho,513,493,1005,93,21.9,21.8,23.0,22.1,38,22.3,508,493,1001,100,36,22.3,21.9,21.6,23.2,22.1
Illinois,559,556,1115,9,21.0,21.2,21.6,21.3,93,21.4,513,506,1019,99,43,23.9,24.1,23.4,24.2,23.4
